City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,mosquera,4.7059,-74.2302,64.49,59,75,14.97,CO,06/30/23
211,tuatapere,-46.1333,167.6833,36.09,86,97,6.85,NZ,06/30/23
212,aguas formosas,-17.0822,-40.9358,70.27,64,13,6.76,BR,06/30/23
213,fare,-16.7,-151.0167,80.49,73,11,21.72,PF,06/30/23
214,shenjiamen,29.9576,122.298,73.85,98,99,5.93,CN,06/30/23
215,namtsy,62.7161,129.6658,73.92,81,42,3.49,RU,06/30/23
216,pundaguitan,6.3711,126.1689,82.9,73,55,2.86,PH,06/30/23
217,aberdour,56.05,-3.3,58.89,95,75,9.22,GB,06/30/23
218,fairbanks,64.8378,-147.7164,67.96,57,75,8.05,US,06/30/23
219,constitucion,-35.3333,-72.4167,59.04,76,4,9.46,CL,06/30/23
220,bud,39.447,-86.1758,89.55,69,59,1.43,US,06/30/23
221,kaeo,-35.1,173.7833,55.78,78,5,10.22,NZ,06/30/23
222,stromness,58.965,-3.296,55.36,91,100,4.0,GB,06/30/23
223,camacha,33.0833,-16.3333,67.42,64,75,16.11,PT,06/30/23
224,porto velho,-8.7619,-63.9039,93.25,43,0,4.61,BR,06/30/23
225,todos santos,23.45,-110.2167,84.65,54,6,6.11,MX,06/30/23
226,wuzhou,23.4833,111.3167,77.23,96,100,2.19,CN,06/30/23
227,nanpara,27.8667,81.5,77.25,92,100,11.05,IN,06/30/23
228,nome,64.5011,-165.4064,59.11,92,40,12.66,US,06/30/23
229,deputatskiy,69.3,139.9,43.27,58,78,3.51,RU,06/30/23
230,san cristobal,7.7669,-72.225,86.18,70,82,8.1,VE,06/30/23
231,porto santo,33.072,-16.3415,70.18,64,75,16.11,PT,06/30/23
232,cidreira,-30.1811,-50.2056,60.78,80,100,2.71,BR,06/30/23
233,saint-francois,46.4154,3.9054,61.68,77,0,0.0,FR,06/30/23
234,tekkali,18.6167,84.2333,84.31,82,50,2.75,IN,06/30/23
235,te anau,-45.4167,167.7167,34.56,98,99,4.29,NZ,06/30/23
236,sitka,57.0531,-135.33,53.49,82,100,9.22,US,06/30/23
237,axim,4.8699,-2.2405,77.16,86,67,6.51,GH,06/30/23
238,hami,42.8,93.45,70.66,26,0,13.65,CN,06/30/23
239,sorgues,44.0102,4.8738,69.85,63,0,12.66,FR,06/30/23
240,berlevag,70.8578,29.0864,48.0,81,100,12.66,NO,06/30/23
241,pevek,69.7008,170.3133,31.86,87,94,8.81,RU,06/30/23
242,rio grande,-32.035,-52.0986,60.91,77,100,8.95,BR,06/30/23
243,torbay,47.6666,-52.7314,72.37,86,75,16.11,CA,06/30/23
244,shwebo,22.5667,95.7,89.38,54,99,11.36,MM,06/30/23
245,colac,-38.3333,143.5833,47.17,92,93,6.42,AU,06/30/23
246,treinta y tres,-33.2333,-54.3833,50.68,70,100,7.11,UY,06/30/23
247,christchurch,-43.5333,172.6333,36.95,89,40,2.3,NZ,06/30/23
248,fort nelson,58.8053,-122.7002,71.94,34,75,16.11,CA,06/30/23
249,haines junction,60.7522,-137.5108,60.75,41,100,14.97,CA,06/30/23
250,lata,40.1629,-8.3327,64.08,80,0,3.02,PT,06/30/23
251,milkovo,54.7167,158.6167,61.38,72,100,3.58,RU,06/30/23
252,nizhneivkino,58.194,49.5214,60.58,98,100,4.94,RU,06/30/23
253,kuah,6.3265,99.8432,78.78,94,40,9.22,MY,06/30/23
254,bodden town,19.2833,-81.25,85.93,77,75,10.36,KY,06/30/23
255,kantang,7.4054,99.5156,77.76,92,100,7.02,TH,06/30/23
256,bonthe,7.5264,-12.505,77.68,86,91,8.05,SL,06/30/23
257,marzuq,14.4,46.4667,79.05,51,73,7.2,YE,06/30/23
258,pisco,-13.7,-76.2167,69.85,73,20,8.05,PE,06/30/23
259,olafsvik,64.8945,-23.7142,48.4,83,97,10.58,IS,06/30/23
260,shancheng,34.7953,116.0817,75.24,66,54,4.63,CN,06/30/23
261,nouakchott,18.0858,-15.9785,78.73,89,4,13.22,MR,06/30/23
262,miraflores,19.2167,-98.8083,77.65,55,96,6.38,MX,06/30/23
